_id,room,purpose
ef3c9b2d-ce6c-4409-becd-17284505b3d9,MOJODOJO,休息
7d86b08d-b014-4687-a5a3-bf939f4c5411,MOJODOJO,討論人因
3f36db5b-c122-4b46-90dd-3ccfa5837f39,MOJODOJO,Talk
f829d775-03b6-45cb-a33d-13b549505ef8,MOJODOJO,吃飯
0030aad7-0ef7-4e27-a993-3f58a9fdfbcc,MOJODOJO,👍
cbbf6907-342c-40e2-8b21-84827f3dc4cf,MOJODOJO,討論
c8e7f6ad-a5a1-4df5-9c1c-b1b8bcfadb5a,MOJODOJO,爆讀公司法
550a6838-1dd4-47a6-b250-7a5e30332da7,MOJODOJO,考完了讚啦
b506f61c-0ba5-4dbb-b528-5a17e3cb57ab,MOJODOJO,聖誕派對
6a968bb2-89e5-4465-bb5d-848e34f62d25,MOJODOJO,交換禮物
4d90f72d-3072-4b36-917c-75997284066e,MOJODOJO,交換禮物完ㄌ
c8d92919-c2f8-488c-92e5-00aed766e1a2,MOJODOJO,pr2
ca679969-bf82-46c7-a953-e674d69da914,MOJODOJO,系女排隊聚
aa10faf5-095c-4e32-90cc-f34c1119c6b9,MOJODOJO,討論
67e57f24-246f-4c1b-9bf2-f7da4ad54c97,MOJODOJO,👍
e196043c-0774-47c7-8026-5b17f3af95be,MOJODOJO,討論
a14a4a63-aeb6-4e8c-b1a4-a6dda474cb44,MOJODOJO,吃飯
106bc4d5-f55b-4606-8dd5-030273cb76a3,MOJODOJO,上課：D
a97557c2-7cf3-4be1-9cd8-a5c70b4834d4,MOJODOJO,吃飯
b2d3660f-841b-42d1-b8c6-e834f984fbe4,MOJODOJO,討論
4a38b630-c49a-4bf1-9bc4-b3f10c2ba95d,MOJODOJO,討論
0b4d02ed-f382-47bd-bb68-bf51aa7e87ba,MOJODOJO,討論
